ticket_id,categoria,severidad,tiempo_resolucion_horas,descripcion
TKT-1000,Hardware,Alta,17.4,Servidor físico sin encender tras actualización eléctrica.
TKT-1001,Red,Baja,22.5,Latencia elevada en enlace secundario.
TKT-1002,Hardware,Alta,15.5,Servidor físico sin encender tras actualización eléctrica.
TKT-1003,Software,Alta,15.8,Error crítico en base de datos: servicio no arranca.
TKT-1004,Red,Baja,34.9,Latencia elevada en enlace secundario.
TKT-1005,Hardware,Baja,34.0,Teclado defectuoso reportado por usuario.
TKT-1006,Hardware,Alta,19.6,Servidor físico sin encender tras actualización eléctrica.
TKT-1007,Software,Media,23.2,Aplicación ERP se congela al guardar pedidos.
TKT-1008,Red,Alta,36.4,Caída total de VPN corporativa. Usuarios sin acceso remoto.
TKT-1009,Red,Alta,9.7,Caída total de VPN corporativa. Usuarios sin acceso remoto.
TKT-1010,Hardware,Alta,27.4,Servidor físico sin encender tras actualización eléctrica.
TKT-1011,Red,Alta,43.7,Caída total de VPN corporativa. Usuarios sin acceso remoto.
TKT-1012,Hardware,Baja,43.7,Teclado defectuoso reportado por usuario.
TKT-1013,Red,Alta,4.6,Caída total de VPN corporativa. Usuarios sin acceso remoto.
TKT-1014,Hardware,Media,16.4,Disco con sectores dañados en equipo de pruebas.
TKT-1015,Red,Baja,25.7,Latencia elevada en enlace secundario.
TKT-1016,Software,Media,10.8,Aplicación ERP se congela al guardar pedidos.
TKT-1017,Red,Media,17.3,Intermitencia en Wi-Fi zona de oficinas.
TKT-1018,Red,Media,22.6,Intermitencia en Wi-Fi zona de oficinas.
TKT-1019,Software,Media,38.0,Aplicación ERP se congela al guardar pedidos.
TKT-1020,Red,Baja,23.5,Latencia elevada en enlace secundario.
TKT-1021,Software,Baja,26.2,Actualización pendiente de cliente desktop.
TKT-1022,Red,Media,29.1,Intermitencia en Wi-Fi zona de oficinas.
TKT-1023,Hardware,Media,29.4,Disco con sectores dañados en equipo de pruebas.
TKT-1024,Hardware,Baja,24.3,Teclado defectuoso reportado por usuario.
TKT-1025,Red,Baja,12.0,Latencia elevada en enlace secundario.
TKT-1026,Red,Baja,31.9,Latencia elevada en enlace secundario.
TKT-1027,Red,Alta,28.3,Caída total de VPN corporativa. Usuarios sin acceso remoto.
TKT-1028,Hardware,Alta,13.0,Servidor físico sin encender tras actualización eléctrica.
TKT-1029,Red,Alta,17.2,Caída total de VPN corporativa. Usuarios sin acceso remoto.
TKT-1030,Hardware,Media,32.9,Disco con sectores dañados en equipo de pruebas.
TKT-1031,Software,Alta,30.1,Error crítico en base de datos: servicio no arranca.
TKT-1032,Hardware,Media,16.8,Disco con sectores dañados en equipo de pruebas.
TKT-1033,Hardware,Media,21.3,Disco con sectores dañados en equipo de pruebas.
TKT-1034,Software,Alta,22.6,Error crítico en base de datos: servicio no arranca.
TKT-1035,Hardware,Media,30.2,Disco con sectores dañados en equipo de pruebas.
TKT-1036,Red,Alta,36.5,Caída total de VPN corporativa. Usuarios sin acceso remoto.
TKT-1037,Red,Alta,24.7,Caída total de VPN corporativa. Usuarios sin acceso remoto.
TKT-1038,Hardware,Baja,35.7,Teclado defectuoso reportado por usuario.
TKT-1039,Red,Alta,32.7,Caída total de VPN corporativa. Usuarios sin acceso remoto.
TKT-1040,Hardware,Baja,26.1,Teclado defectuoso reportado por usuario.
TKT-1041,Red,Alta,9.6,Caída total de VPN corporativa. Usuarios sin acceso remoto.
TKT-1042,Red,Alta,13.7,Caída total de VPN corporativa. Usuarios sin acceso remoto.
TKT-1043,Hardware,Baja,31.4,Teclado defectuoso reportado por usuario.
TKT-1044,Red,Baja,6.9,Latencia elevada en enlace secundario.
TKT-1045,Hardware,Alta,25.2,Servidor físico sin encender tras actualización eléctrica.
TKT-1046,Red,Media,34.0,Intermitencia en Wi-Fi zona de oficinas.
TKT-1047,Red,Baja,25.5,Latencia elevada en enlace secundario.
TKT-1048,Software,Media,18.0,Aplicación ERP se congela al guardar pedidos.
TKT-1049,Software,Media,15.5,Aplicación ERP se congela al guardar pedidos.
TKT-1050,Hardware,Media,32.2,Disco con sectores dañados en equipo de pruebas.
TKT-1051,Software,Baja,28.7,Actualización pendiente de cliente desktop.
TKT-1052,Hardware,Media,21.1,Disco con sectores dañados en equipo de pruebas.
TKT-1053,Software,Baja,34.7,Actualización pendiente de cliente desktop.
TKT-1054,Red,Media,32.5,Intermitencia en Wi-Fi zona de oficinas.
